metric,value
avg_latency_ms,0.14
p50_latency_ms,0.08
p95_latency_ms,0.26
p99_latency_ms,0.55
avg_tps,5958.13
avg_success_rate_percent,99.56
total_requests,357488
total_successes,355902
duration_seconds,60
