metric,value
avg_latency_ms,0.25
p50_latency_ms,0.10
p95_latency_ms,0.34
p99_latency_ms,0.65
avg_tps,3006.73
avg_success_rate_percent,99.58
total_requests,180404
total_successes,179646
duration_seconds,60
