metric,value
avg_latency_ms,0.12
p50_latency_ms,0.08
p95_latency_ms,0.24
p99_latency_ms,0.50
avg_tps,6712.25
avg_success_rate_percent,99.61
total_requests,402735
total_successes,401171
duration_seconds,60
