metric,value
avg_latency_ms,0.16
p50_latency_ms,0.08
p95_latency_ms,0.25
p99_latency_ms,0.50
avg_tps,4968.82
avg_success_rate_percent,99.80
total_requests,298129
total_successes,297543
duration_seconds,60
