metric,value
avg_latency_ms,0.16
p50_latency_ms,0.08
p95_latency_ms,0.24
p99_latency_ms,0.49
avg_tps,4929.12
avg_success_rate_percent,99.66
total_requests,295747
total_successes,294734
duration_seconds,60
