metric,value
avg_latency_ms,0.25
p50_latency_ms,0.09
p95_latency_ms,0.34
p99_latency_ms,0.64
avg_tps,2936.58
avg_success_rate_percent,99.00
total_requests,176195
total_successes,174440
duration_seconds,60
