metric,value
avg_latency_ms,0.15
p50_latency_ms,0.08
p95_latency_ms,0.27
p99_latency_ms,0.55
avg_tps,4667.78
avg_success_rate_percent,99.57
total_requests,280067
total_successes,278870
duration_seconds,60
