metric,value
avg_latency_ms,0.14
p50_latency_ms,0.08
p95_latency_ms,0.24
p99_latency_ms,0.51
avg_tps,6210.37
avg_success_rate_percent,99.65
total_requests,372622
total_successes,371305
duration_seconds,60
