metric,value
avg_latency_ms,0.27
p50_latency_ms,0.10
p95_latency_ms,0.33
p99_latency_ms,0.64
avg_tps,2381.97
avg_success_rate_percent,99.26
total_requests,142918
total_successes,141856
duration_seconds,60
