metric,value
avg_latency_ms,0.17
p50_latency_ms,0.09
p95_latency_ms,0.25
p99_latency_ms,0.50
avg_tps,4942.25
avg_success_rate_percent,99.94
total_requests,296535
total_successes,296343
duration_seconds,60
