metric,value
avg_latency_ms,0.11
p50_latency_ms,0.09
p95_latency_ms,0.20
p99_latency_ms,0.35
avg_tps,8410.28
avg_success_rate_percent,99.94
total_requests,504617
total_successes,504289
duration_seconds,60
