timestamp,elapsed_seconds,rps,success_rate_percent,avg_latency_ms,events
1764315086.2042975,1,1215.7017485858692,99.91776315789474,0.1344592555573112,FAULT: Kill Node 2
1764315087.204317,2,7347.856347031485,100.0,0.12919772365655208,REVIVE: Node 2
1764315088.220923,3,5004.889534924626,99.98034591194968,0.1457238440993447,FAULT: Kill Node 24
1764315089.221039,4,4969.423001050589,99.95975855130784,0.19076407795221034,REVIVE: Node 24
1764315090.2214153,5,5468.94244976384,100.0,0.1670276632781352,
1764315091.221494,6,7021.447565627895,100.0,0.14068960837915867,
1764315092.2215178,7,6773.838499104998,100.0,0.14632547855517983,FAULT: Kill Node 1
1764315093.2215617,8,6718.705256994417,100.0,0.14029537075455475,REVIVE: Node 1
1764315094.2216017,9,6072.756759849631,99.98353367363741,0.1506580074516961,FAULT: Kill Node 24
1764315095.2217085,10,6305.326518468792,99.76213130352045,0.14821805539601499,REVIVE: Node 24
1764315096.2217116,11,6070.981183348803,100.0,0.14915950921551438,FAULT: Kill Node 0
1764315097.2218406,12,6934.105608192913,100.0,0.13662003405075238,REVIVE: Node 0
1764315098.2218902,13,6632.671078781036,100.0,0.1378251329798981,
1764315099.2218966,14,8611.944562315182,99.98838829540176,0.11497946379077308,FAULT: Kill Node 24
1764315100.2219656,15,8425.419463580853,99.88131972466176,0.11121587234920825,REVIVE: Node 24; FAULT: Kill Node 0
1764315101.2220511,16,7396.366928165624,99.74313911045019,0.11526063694991952,REVIVE: Node 0
1764315102.2221792,17,7801.001231751096,99.98718277364779,0.11771967764910415,FAULT: Kill Node 24
1764315103.22223,18,8152.5859859430775,99.95093830491844,0.1154885502018315,REVIVE: Node 24
1764315104.2223737,19,7541.9157259028625,100.0,0.12017510131042958,FAULT: Kill Node 0
1764315105.2226083,20,6483.478950670371,99.9845797995374,0.14700286647587807,REVIVE: Node 0; FAULT: Kill Node 24
1764315106.2226138,21,5646.969034126333,99.7343722330441,0.15413379044327583,REVIVE: Node 24
1764315107.2226322,22,7353.864996050669,100.0,0.12411019514850018,
1764315108.2226381,23,7808.953455010324,100.0,0.12682836451746007,
1764315109.2227297,24,8718.201824784108,100.0,0.11355598826845355,FAULT: Kill Node 1
1764315110.2228513,25,6722.182626452567,100.0,0.14084278783609552,REVIVE: Node 1
1764315111.2228527,26,7540.989212528401,100.0,0.12011983922298984,
1764315112.2229505,27,8586.16068890513,100.0,0.11522941793706318,
1764315113.2230353,28,8460.281916531972,100.0,0.11696160058013769,
1764315114.2230608,29,8808.77528120158,100.0,0.11236427563491806,
1764315115.2230816,30,7995.834147078801,100.0,0.12377391999336766,
1764315116.2231505,31,7894.456048536771,99.98733375554148,0.12541699062200043,FAULT: Kill Node 24
1764315117.2232983,32,7754.853681258588,99.71634863331614,0.11906828567992787,REVIVE: Node 24; FAULT: Kill Node 0
1764315118.223332,33,6742.773328056513,99.65890553166247,0.12620255941102188,REVIVE: Node 0; FAULT: Kill Node 24
1764315119.2233405,34,6944.94039109848,99.71202303815694,0.12354788975890718,REVIVE: Node 24; FAULT: Kill Node 0
1764315120.2234354,35,7158.32074268923,99.76253666713228,0.11993047328181132,REVIVE: Node 0; FAULT: Kill Node 1
1764315121.2235115,36,8162.379205950094,100.0,0.10780039246024184,REVIVE: Node 1
1764315122.2236364,37,8008.999425006222,99.98751560549314,0.11443835816877464,FAULT: Kill Node 24
1764315123.2237675,38,8179.927364337353,99.93888277716661,0.11498149078671295,REVIVE: Node 24; FAULT: Kill Node 1
1764315124.2237842,39,7498.874849023954,99.82664355247366,0.11658738463509001,REVIVE: Node 1
1764315125.223795,40,8451.909320850506,100.0,0.10616261418600303,FAULT: Kill Node 0
1764315126.2238712,41,4755.637173677545,100.0,0.19948646940034012,REVIVE: Node 0
1764315127.2238896,42,7695.858717651067,99.98700623700624,0.11500071834873508,FAULT: Kill Node 24
1764315128.2239058,43,9587.844557421231,99.97914059240718,0.0981619122329731,REVIVE: Node 24; FAULT: Kill Node 1
1764315129.2239552,44,8217.594439971668,99.87831589194451,0.10351950189846221,REVIVE: Node 1
1764315130.2240086,45,8057.569679353673,100.0,0.11003727532995342,FAULT: Kill Node 0
1764315131.2240696,46,8278.494720781202,99.98792124652735,0.11212386029802496,REVIVE: Node 0; FAULT: Kill Node 24
1764315132.2241392,47,8882.381624356673,99.9324552516042,0.09737223584708579,REVIVE: Node 24; FAULT: Kill Node 1
1764315133.2241635,48,6287.847087764037,99.66603053435115,0.13017749210047055,REVIVE: Node 1; FAULT: Kill Node 24
1764315134.2247918,49,7236.453821225422,100.0,0.11777782321651245,REVIVE: Node 24
1764315135.2247953,50,8072.971128805415,100.0,0.10988494653795106,FAULT: Kill Node 0
1764315136.224807,51,7742.909543378919,100.0,0.12238161455795128,REVIVE: Node 0
1764315137.2248633,52,7935.553491920449,100.0,0.11537560532169958,
1764315138.2249968,53,9018.795860843164,100.0,0.10978816089503253,
1764315139.2251139,54,9148.928994146318,100.0,0.10818080172512701,
1764315140.225191,55,8172.368703970888,99.98776459072556,0.1213150334798705,FAULT: Kill Node 24
1764315141.225215,56,6924.834899070285,99.95667870036101,0.12790321873413527,REVIVE: Node 24
1764315142.2252624,57,8199.610967020408,100.0,0.1096881017452333,FAULT: Kill Node 1
1764315143.2252684,58,8090.951774169361,100.0,0.11042496017967132,REVIVE: Node 1
1764315144.22533,59,7965.508126591495,99.98744664825509,0.1132107247906416,FAULT: Kill Node 24
