metric,value
avg_latency_ms,0.11
p50_latency_ms,0.09
p95_latency_ms,0.23
p99_latency_ms,0.49
avg_tps,2948.08
avg_success_rate_percent,99.96
total_requests,176885
total_successes,176820
duration_seconds,60
