metric,value
avg_latency_ms,0.11
p50_latency_ms,0.09
p95_latency_ms,0.23
p99_latency_ms,0.43
avg_tps,3097.08
avg_success_rate_percent,99.98
total_requests,185825
total_successes,185796
duration_seconds,60
