metric,value
avg_latency_ms,0.14
p50_latency_ms,0.10
p95_latency_ms,0.26
p99_latency_ms,0.89
avg_tps,6488.48
avg_success_rate_percent,99.63
total_requests,389309
total_successes,387872
duration_seconds,60
