metric,value
avg_latency_ms,0.12
p50_latency_ms,0.09
p95_latency_ms,0.26
p99_latency_ms,0.43
avg_tps,7262.95
avg_success_rate_percent,99.95
total_requests,435777
total_successes,435558
duration_seconds,60
