metric,value
avg_latency_ms,0.14
p50_latency_ms,0.09
p95_latency_ms,0.29
p99_latency_ms,0.78
avg_tps,4118.77
avg_success_rate_percent,99.91
total_requests,247126
total_successes,246893
duration_seconds,60
