timestamp,elapsed_seconds,rps,success_rate_percent,avg_latency_ms,events
1764316689.067685,1,1.5345190542428169,50.0,3.6967992782592773,
1764316690.067733,2,8448.59311108388,100.0,0.11703826673130464,
1764316691.0677989,3,8360.449852905416,99.98803970816887,0.11892322147452877,FAULT: Kill Node 24
1764316692.6203191,4,0.6441139713459163,0.0,3.6246776580810547,REVIVE: Node 24
1764316693.868755,6,0.8010022305741437,100.0,0.9725093841552734,
1764316694.8688202,7,9179.402528550554,100.0,0.10780275257584317,
1764316695.8688366,8,9506.843604038077,100.0,0.10394297702412532,
1764316696.8690014,9,8972.521801813828,100.0,0.1104453743394138,FAULT: Kill Node 9
1764316697.8690407,10,8931.648637288772,100.0,0.10542083736817719,REVIVE: Node 9; FAULT: Kill Node 7
1764316699.7110822,11,2551.5169008043144,99.95744680851064,0.12992874104925928,REVIVE: Node 7
1764316700.80548,13,0.9137445408592193,0.0,2.911806106567383,FAULT: Kill Node 3
1764316701.907448,14,0.9074673262961033,0.0,3.2722949981689453,REVIVE: Node 3; FAULT: Kill Node 11
1764316703.2158332,15,0.7643009494757884,0.0,0.6170272827148438,REVIVE: Node 11; FAULT: Kill Node 24
1764316704.216331,16,2152.9282335873295,90.48282265552461,0.20710450139661132,REVIVE: Node 24; FAULT: Kill Node 22
1764316705.216338,17,1515.9895182380608,98.48284960422163,0.5497174401396497,REVIVE: Node 22; FAULT: Kill Node 24
1764316706.2164662,18,4640.404779011939,99.15966386554622,0.18244877736955284,REVIVE: Node 24; FAULT: Kill Node 22
1764316707.2165773,19,3719.5867425389233,99.38172043010752,0.22931118165293046,REVIVE: Node 22; FAULT: Kill Node 24
1764316708.2167194,20,5262.252247252616,99.23997719931597,0.15396553596208104,REVIVE: Node 24; FAULT: Kill Node 22
1764316709.2170174,21,5341.408136327169,99.7566909975669,0.1584628135685436,REVIVE: Node 22; FAULT: Kill Node 24
1764316710.2171085,22,4851.558139989501,99.13437757625722,0.17043134936201407,REVIVE: Node 24
1764316711.2177234,23,5210.79597787215,100.0,0.1715581262527776,
1764316712.217796,24,7095.484032957542,100.0,0.13928856226072775,
1764316713.2178495,25,7573.595526361965,100.0,0.13086740404627145,FAULT: Kill Node 22
1764316714.218526,26,5862.034957605665,100.0,0.16113889123895167,REVIVE: Node 22
1764316715.218621,27,5578.46932571865,100.0,0.16352061538162957,
1764316716.2186763,28,6544.637995716332,100.0,0.15129922818736868,
1764316717.2188659,29,7518.574908482494,100.0,0.13170971515330862,
1764316718.2188895,30,6397.848988759544,100.0,0.1546927040984907,
1764316719.2188952,31,7877.95492198035,100.0,0.12564719646344422,
1764316720.218972,32,7429.429636873466,100.0,0.13322310364262413,
1764316721.2189922,33,7229.853482831469,100.0,0.13688969249382388,
1764316722.219026,34,7928.7315693180935,100.0,0.12484777318016549,
1764316723.2191658,35,8442.820425803775,99.98815727143534,0.11735999262315974,FAULT: Kill Node 24
1764316724.2191951,36,6903.7975427871315,99.79721900347624,0.13135710293006234,REVIVE: Node 24; FAULT: Kill Node 22
1764316725.2192926,37,6341.3816315919585,99.73194575843583,0.13181566252237764,REVIVE: Node 22; FAULT: Kill Node 24
1764316726.2193499,38,6796.611094793618,99.63219067235545,0.12822338495427094,REVIVE: Node 24; FAULT: Kill Node 22
1764316727.219665,39,7014.789013129388,99.7007268063275,0.12181086198410723,REVIVE: Node 22
1764316728.2197528,40,7350.355094271972,99.98639640865188,0.12287034937807077,FAULT: Kill Node 24
1764316729.2198198,41,7589.491537303452,99.85507246376811,0.12245583440004129,REVIVE: Node 24; FAULT: Kill Node 22
1764316730.2199647,42,6221.098198961027,99.67855994856959,0.13776953601254716,REVIVE: Node 22
1764316731.2200525,43,6689.413084026593,99.98505231689087,0.13557585187378843,FAULT: Kill Node 24
1764316732.2200594,44,6097.957837873149,98.9832732043293,0.13895643152303874,REVIVE: Node 24
1764316733.220066,45,7586.949351648845,100.0,0.117658641760381,
1764316734.2200933,46,8876.75873220075,100.0,0.11162861545464337,FAULT: Kill Node 22
1764316735.2201588,47,6654.5636928044505,99.98497370398198,0.14015548127114907,REVIVE: Node 22; FAULT: Kill Node 24
1764316736.2202635,48,5663.407235198914,98.44632768361582,0.1368456977908894,REVIVE: Node 24; FAULT: Kill Node 22
1764316737.2202888,49,5822.8528427120855,99.62218787566547,0.14467974739264688,REVIVE: Node 22
1764316738.220583,50,6054.218797207891,100.0,0.1449103871928811,
1764316739.2206073,51,8050.804214947241,99.98757918271022,0.12314874864397486,FAULT: Kill Node 24
1764316740.2206497,52,7310.689745241486,99.93160990288607,0.12674535157301897,REVIVE: Node 24
1764316741.22071,53,7644.538882175162,100.0,0.11640062824895446,
1764316742.2207446,54,8274.713937396784,100.0,0.11960035364433358,
1764316743.2207956,55,8712.555471689477,100.0,0.11353127159837548,
1764316744.2208362,56,8481.656228647502,100.0,0.11676871756904672,FAULT: Kill Node 22
1764316745.220933,57,7226.300508974398,100.0,0.13059357051551135,REVIVE: Node 22
1764316746.2210083,58,6857.483355345657,99.9854184893555,0.13508213334682906,FAULT: Kill Node 24
1764316747.2210233,59,5584.9161124908715,98.71083258728738,0.14724923546226726,REVIVE: Node 24; FAULT: Kill Node 22
