metric,value
avg_latency_ms,0.14
p50_latency_ms,0.11
p95_latency_ms,0.31
p99_latency_ms,0.60
avg_tps,4274.85
avg_success_rate_percent,99.52
total_requests,256491
total_successes,255269
duration_seconds,60
