metric,value
avg_latency_ms,0.10
p50_latency_ms,0.08
p95_latency_ms,0.19
p99_latency_ms,0.40
avg_tps,4554.20
avg_success_rate_percent,99.84
total_requests,273252
total_successes,272824
duration_seconds,60
